Davies Avenue	Gledhow	LS8	53.8336	-1.5132	10:KZAY;11:JECX;12:HR6G;13:KZAX;14:KZBB;15:KZBA;16:KZB7;17:KZB4;18:HR6H;19:L1QU;20:L1QR;21:MFSI;22:L1QO;23:L1QK;24:MFS6;25:KZAN;26:KZAM;27:KZAQ;28:L1QY;29:L00R;2:DUKB;30:MFRJ;31:K4IZ;32:K4IR;33:IGPV;34:K4IT;35:K4IW;36:K4JC;37:K4JA;3840:K4J8;39:K4J5;3:DUU9;41:K4IC;42:K4I9;43:K4I6;44:GUJK;45:K4I2;46:K4IK;46A:K4IQ;47:LT0D;48:K4IH;49:K4K0;4:DUU6;50:GUJP;51:K4JW;52:K4JV;53:KYL2;54:MFRK;55:K07H;56:K4K9;57:K4K7;58:K4K5;59:K4K2;5:DUU4;60:MFS8;61:K4JO;6:DUU2;7:DUTY;8:KZB1;9:JECW;FLAT 1 GREENVIEW COURT:L01V;FLAT 10 GREENVIEW COURT:DYAG;FLAT 11 GREENVIEW COURT:DYAJ;FLAT 12 GREENVIEW COURT:DYAI;FLAT 12A GREENVIEW COURT:L01R;FLAT 14 GREENVIEW COURT:DUUL;FLAT 2 GREENVIEW COURT:L015;FLAT 3 GREENVIEW COURT:DYAD;FLAT 4 GREENVIEW COURT:L01D;FLAT 5 GREENVIEW COURT:LTHR;FLAT 6 GREENVIEW COURT:MFS1;FLAT 7 GREENVIEW COURT:DYFL;FLAT 8 GREENVIEW COURT:DYFT;FLAT 9 GREENVIEW COURT:DYFR;
DAVY AVENUE	Micklefield	LS25	53.7975	-1.3315	10:OA80;11:OA5N;12:OA7Z;13:OA5O;14:OA7Y;15:OA5P;16:OA7X;17:OA5Q;18:OA7W;19:OA60;20:OA7V;25:OA63;28:OA7K;2:OA84;30:OA7J;35:OA6J;37:OA6K;39:OA6L;41:OA6M;43:OA6Q;44:OA7B;45:OA6R;47:OA6S;48:OA79;49:OA6T;4:OA83;5:OA87;6:OA82;7:OA88;8:OA81;9:OA5M;
Davy Road	Allerton Bywater	WF10	53.7442	-1.3631	10:KOIB;11:LO2I;12:KPTY;14:KS8S;15:INWN;16:KS8U;17:EXHH;18:KS8F;19:MA1D;1:KSKP;20:KSII;21:FDH4;22:KSIL;23:HKIR;25:MD2V;27:FDI0;29:FDI3;2:JRP9;31:FDI9;33:FDIA;35:FDIJ;37:HNJR;39:FDIN;3:KSKQ;41:FAN3;43:FBEX;45:EJNR;47:EJOD;4:MD2O;5:KNME;6:JRPB;7:KOMR;8:JRPF;9:KON0;
Dawlish Avenue	Osmondthorpe	LS9	53.7983	-1.5069	10:K48A;11:K0AM;12:K33Y;13:F4P2;14:K33U;15:K33R;16:K33W;17:JGKG;18:K0AX;19:F4Q3;1:K4JM;20:K0AT;21:K0AR;22:K0AV;23:K335;24:K333;25:HTIG;26:II03;28:K1JW;29:II02;2:K4JP;30:K33M;31:K33J;32:K33G;33:K33D;34:K339;35:K487;36:K485;37:K482;38:K47Y;39:K47W;3:K4JJ;40:K48H;41:K4HX;42:K48K;43:F4PE;44:K48G;45:K48B;46:IETV;47:K0BA;48:K0B9;49:IETT;4:K4JH;50:IETS;51:K37L;52:F4P8;53:IFQL;54:IFQK;55:K37H;56:L2JM;57:K1KK;58:K1KG;59:K1KE;5:IGQ3;60:K1KL;61:K1K7;62:F4PP;63:K1KW;64:K1KT;65:K1KQ;66:K1KX;67:K1KN;68:K1K4;69:IHPN;6:KYKT;70:K0JE;71:K0JG;72:K0J9;73:IHPO;74:LT8O;75:K0JN;76:K1K2;77:K0JK;78:K0JI;79:DXWT;7:F4PG;80:DXWP;8:KYKO;9:F4QP;
Dawlish Crescent	Osmondthorpe	LS9	53.7990	-1.5069	3 OSMONDTHORPE TERRACE:KLD6;
Dawlish Grove	Osmondthorpe	LS9	53.7968	-1.5051	11:DXX7;13:DXWV;15:LG67;17:DXWX;19:K0HP;1:LG66;21:GUKE;23:K08H;25:K08F;27:K08B;29:K0HY;31:K0I3;33:K0I1;35:GUKF;37:K0HX;39:F4PK;3:DXWU;41:LT88;43:GUKC;45:K07T;5:DXWJ;7:F4QR;9:DXX9;GARAGE SITE ADJACENT 37:DCHI;GARAGE SITE ADJACENT 45:K07K;GARAGE SITE REAR OF 17 TO 33:DXWG;
Dawlish Mount	Osmondthorpe	LS9	53.7979	-1.5058	10:KZLD;11:F4PM;12:KZL8;13:KZKQ;14:K0ID;15:GX14;16:K0IG;17:K0I6;18:KZKF;19:KZKM;1:K07Z;20:F4QQ;21:KZKO;22:KZKD;23:KZKA;24:L1QW;25:K0JP;26:K26S;27:K26R;28:IFPE;29:K0K0;2:K0HT;30:K0K8;31:K0K5;32:K0JU;33:K0JY;34:K0JW;35:K0K1;36:GU9Q;37:IFP6;38:K266;39:IFP7;3:KZL1;40:IFPB;41:F4P7;42:IFPC;43:K26F;44:K26I;45:IFPA;46:K1UJ;47:K1UH;48:K1UF;49:K1UA;4:KZKZ;50:K1LH;51:K1UE;52:K1UT;53:II07;54:K1UQ;55:K1UN;56:K1UR;57:K0KM;58:K0KJ;59:K0KF;5:KZL4;60:K0KC;62:K0KA;64:K0U2;66:F4PQ;68:F4PO;6:KZKU;70:K0KU;72:K0KR;74:K23Y;76:K24R;78:K24O;7:KZKR;80:K24L;8:K0J7;9:KZLG;
Dawlish Place	Osmondthorpe	LS9	53.7992	-1.5065	10:K254;12:K250;14:K24X;16:K24B;18:K23U;20:K4WP;2:K24I;4:K251;6:K258;8:F4P5;
Dawlish Road	Osmondthorpe	LS9	53.7975	-1.5067	10:K0IX;11:K0IV;12:K0IR;13:IHPF;14:GUKH;15:K263;16:GU9P;17:K0J0;18:K25Z;19:K0J2;1:K4WN;20:IHPE;21:K25K;22:K25J;23:K25A;24:K25E;25:K25B;26:GU9O;27:LT89;28:K25L;28A:F4P6;29:IFP0;2:IGZR;30:DXYP;31:IH28;32:DXY1;33:IH27;34:DXXX;35:DXXZ;36:LUCJ;37:DXYB;38:F4ZQ;39:DXYD;3:K4WI;40:DXY7;41:DXYA;42:K2YJ;43:F4PZ;44:JHPR;45:K2YF;46:IIZI;47:DXXQ;48:DXXS;49:F4ZP;4:K24A;50:K383;51:K382;52:L0GI;53:L0GA;54:L0G7;55:LJWD;56:L0G2;57:L0GH;58:L0GO;59:L0GM;5:K247;60:L0GJ;61:L0GP;62:L0GE;63:F4QH;64:LFVJ;65:DXYM;66:IH2C;68:DXYG;69:DXYI;6:K23X;70:L0FX;71:F4QG;72:DXYO;73:IH2G;74:IH2F;75:L0GB;76:K0VN;77:IHZ6;78:K0VJ;79:IHZ5;7:K242;80:K0VU;81:K37U;83:LSZX;85:K37Q;87:K37W;89:K0VS;8:K23Z;9:K24W;GARAGE SITE:HWC0;
Dawlish Row	Osmondthorpe	LS9	53.7996	-1.5046	2:K0VW;4:K0V0;6:K0UW;
