Duckett Grove	Pudsey	LS28	53.8015	-1.6992	10:KLC7;1:KLCG;2:KLCF;3:KLCD;4:EZCW;5:KLC5;6:KLCB;7:EZCV;8:KLCA;9:KLC8;
Dudley Street	Cutler Heights	BD4	53.7880	-1.7092	WHINNEY HILL CROFT:FGFR;
Dufton Approach	Seacroft	LS14	53.8129	-1.4645	10:J51U;11:J0SA;12:JD52;134:JD4Z;136:M1VM;138:K0CG;140:K1DE;142:K1CO;144:K02G;146:M1VK;148:K1D2;14:K1DU;150:M1VO;152:JDFE;154:K1D8;156:K1D5;158:K1CZ;15:K0BW;160:IFSX;162:IFGU;164:L29Z;166:M1WF;168:K1XL;16:K0D4;170:K1XS;172:K10A;174:M1WC;176:K1OE;178:J1QC;17:K0BT;180:MGNV;182:LBYY;184:J1Q1;186:J1PX;188:J1R7;18:K0BS;190:J1RD;192:J1QP;194:J1QZ;196:K1ZZ;198:M1WH;19:J51J;200:K204;202:K2EE;204:IG3M;206:L1JS;208:M1WI;20:J51M;210:L1AN;212:K1YK;214:K1Y2;216:JGLM;218:LJN1;21:IIPN;220:JDC6;222:JGLO;224:J4GY;226:J46M;228:K2ME;22:LT2D;230:MGOD;232:IFRR;23:J13A;24:MGNN;25:M1VS;26:MGNS;27:K1P6;28:J137;29:K1P1;2:J46V;30:K1OY;31:K1PA;32:K1PJ;33:K1EJ;34:K1EH;35:K1E0;36:HTHU;37:K1EE;38:J12O;39:J12Q;40:LZ6G;41:IJP9;42:J12F;44:J12N;46:J12J;47:L1LL;48:IGR5;49:L1LQ;4:J478;50:L1LW;51:K026;52:K2QH;53:K022;54:L1LK;55:K01U;56:K01Z;57:K01S;58:L1KF;59:L1K0;5:J481;60:L1KK;61:L1JY;62:L1KE;63:K2Q9;64:L1KT;65:K2QG;66:M1VU;67:K0C2;68:IGQW;69:JD4S;6:JECM;70:GRLA;71:JD4R;72:GRLD;73:JDFF;75:HTHT;77:JD4T;79:JD4X;81:K0CH;8:J48I;9:J51S;FLAT, 1:KGKH;FLAT, 3:LOT7;GARAGE SITE BEHIND 1:K3XR;
Dulverton Close	Beeston	LS11	53.7667	-1.5808	10:HF83;11:I9XK;12:I9N5;14:I9NC;15:I9MT;16:I9MQ;17:I9NX;18:E6SZ;19:LMCW;1:ICQP;20:I9NI;21:LQON;22:I9NR;23:HE7N;24:HE7R;25:HE7O;26:E6S6;27:HE7C;28:HGON;29:HE80;2:HF7Y;30:HE7W;31:HE83;32:HE77;33:GVK3;34:E6RX;35:HFI0;36:HFI4;37:JB80;38:HE73;39:HII1;3:I9XY;40:HIHU;41:HGQ0;42:HGQ5;43:E6SF;44:JCKN;45:HGPU;46:HGPV;47:JCKX;48:HGQI;49:JCKZ;4:I9XW;50:JCKT;51:HGQB;52:HGQF;53:HGFA;54:IEEJ;55:JAKN;5:E6T0;6:E6RW;7:LLXU;8:HFHW;9:HF85;GARAGE SITES:DC94;
Dulverton Gardens	Beeston	LS11	53.7703	-1.5880	10:I8X9;11:I8X1;12:I8WT;14:I8X6;15:JE02;16:I8YB;17:I8XQ;18:JE00;19:K42V;1:IZXJ;20:IIVR;21:K1FB;22:K3TD;24:K159;26:IZWX;28:GTZH;2:IZXQ;30:IZX1;32:LT92;34:GTZG;36:K13X;38:K147;3:I8YE;40:K144;42:E9NS;44:K14W;46:GQO6;48:K14E;4:J4GV;50:K14L;52:E9NT;54:K1WI;56:J51A;58:J0SM;5:J4I2;60:K1X4;62:IHNE;64:IHN6;6:J4IA;7:J4HJ;8:J4HP;9:I8XA;GARAGE SITE ADJACENT TO, 2:JA3W;GARAGE SITE:K42N;
Dulverton Garth	Beeston	LS11	53.7666	-1.5849	10:HF1M;11:HFBL;12:ID1A;14:HF26;15:HFBG;16:HFBE;17:HFBI;18:HJD1;19:HJD6;1:LU7D;20:HEK7;21:HEK4;22:HEKA;23:HJDT;24:E6SA;25:JBB3;26:HJDN;27:JBAY;28:JBAZ;29:HFDC;2:GVKG;3:LL51;4:HHQG;5:HHQJ;6:HF1Q;7:HF22;8:HF1Y;9:HJDW;PARKING AREA NEAR 2 TO 12:HF2A;
Dulverton Green	Beeston	LS11	53.7667	-1.5797	10:HJ1H;11:LM3H;12:LM2S;14:HF80;15:LPWT;16:HFHV;17:LVHV;18:I9N8;19:I9MY;1:HH0F;20:I9NH;21:HE7K;22:HE7J;23:HGOQ;24:LVHX;25:HFI2;26:HIHZ;27:HGPZ;28:JCKO;29:LHAE;2:HH09;30:JCKU;31:IEEM;32:LHA8;33:IEEY;34:IAFN;35:GVL3;36:LLZ8;37:HHQA;38:E7QB;39:IAF2;3:E6S7;40:HFBO;41:HF1O;42:HEKG;43:JDJ4;44:JAJ5;45:HOUR;46:HFDG;47:E6SC;48:JCAE;49:HFDM;4:HH0R;50:IDAN;51:HFCW;52:HGFD;53:HGP3;54:HGPF;55:HGPJ;56:HHVI;57:HHUO;58:HGPK;59:IBPC;5:HGOU;60:IBQ4;61:JFFL;62:E7QH;63:JDJM;64:HGJ0;65:JBAU;66:JC78;68:HGJ9;6:HHYH;70:E6RY;72:HG8G;74:LVIJ;76:LM4F;78:JCHJ;7:HJBX;80:JC7A;82:HFBQ;84:HHK2;86:ICL0;88:IDLN;8:HHYC;9:LVR7;GARAGE SITE NEAR, 59:IBPI;GARAGE SITE NORTH OF, 1020:HOU7;
Dulverton Grove	Beeston	LS11	53.7689	-1.5861	10:JF07;11:J1OY;12:I5ZY;14:I503;15:I8YL;16:JF23;17:K51D;18:K51G;19:J4IR;1:J2OA;20:J13S;21:J42A;22:IGP8;23:J11Y;24:K1WM;25:E4SV;26:J2N6;27:J24U;28:E8XB;29:J4IN;2:J2NJ;30:K51X;31:J1BZ;32:I6AN;33:I6AY;34:I6A4;35:J1BS;36:K51P;37:J1NR;38:LJ9H;39:I8YP;3:J2NT;40:J1ZM;41:J1OQ;42:K272;43:J1D6;44:J24T;45:J027;46:J41N;47:LD77;48:I4ZS;49:J430;4:J252;50:JF26;51:J491;52:K524;5:J02A;6:J41S;7:E8XE;8:J13F;9:J42K;GARAGE SITE ADJACENT TO 39 TO 41:IIOV;GARAGE SITE FRONTING OF 18:DBW9;
Dulverton Place	Beeston	LS11	53.7696	-1.5868	10:LIOQ;11:J1OL;12:J48O;14:J4IS;15:HPNC;16:J1OO;17:I4ZX;18:J42L;19:J128;1:J4KA;20:J130;21:K1WW;22:J447;23:J44F;24:J0SF;25:K1XB;26:J50R;27:J1N5;28:J1DK;29:J2NI;2:I6AL;30:J2NX;32:J023;34:J1OV;36:K51O;38:J1CG;3:I6AM;40:J1BV;42:I6A5;44:J4CB;45:I6AV;46:I6B2;47:I6AO;48:JARW;49:J4CC;4:I6B4;50:J1BY;51:J0JG;52:J1NZ;54:J48N;56:I508;58:J1P7;5:LIPA;60:LIOS;62:J13L;64:J421;66:J2NS;68:J513;6:J1BM;70:J1MW;72:K1WH;74:J0SI;76:J516;78:J254;7:J1CW;80:J24B;82:I4ZT;84:J1OK;8:JD46;9:K51S;FLAT 1, 31:N03R;FLAT 3, 31:N03T;FLAT 4, 31:N03U;GARAGE COURT:J1OX;GARAGE SITE NEXT TO 19:J41U;
Dulverton Square	Beeston	LS11	53.7660	-1.5841	10:IAFG;11:IAFL;12:IAFQ;14:HIXM;15:LVQO;16:HIXR;17:E6S2;18:LVQN;19:IAF6;1:HGF1;20:HHQ4;21:E6SG;22:HGQW;24:JCL3;2:HGF9;3:JBIA;4:IEEW;5:JBI6;6:IEEP;7:HGR4;8:HIWZ;9:HIX3;PARKING AREA NEAR 2 TO 16:IENY;
Dunbar Court	Methley	LS26	53.7350	-1.4084	10:H57A;11:IXW1;12:I2WJ;14:I2WD;15:IXVZ;17:IURL;19:LF4W;1:IX9F;21:IXWL;2:LPBD;3:MD41;4:IX9B;5:IX1V;6:IX9C;7:IX1U;8:H577;9:IXW5;
Duncan Avenue	Otley	LS21	53.9001	-1.7127	10:F8HE;11:LNE7;12:G2PE;13:G2PG;14:GNUX;15:G2PJ;16:F8H0;17:F8H9;18:F8HU;19:F8HS;1:G33V;20:F8HZ;21:FRK4;22:F8HM;24:F8HJ;26:LGUV;28:F8HH;2:G33R;30:F8HQ;32:E8XU;3:G33X;4:G340;5:G4PR;6:F8H5;7:F8H7;8:E8XT;9:GOJG;
Duncan Street	Leeds	LS1	53.7960	-1.5420	FLAT THE DUNCAN, 22:LWEP;
DUNCOMBE DRIVE	Seacroft	LS14	53.8320	-1.4600	11:O7SL;13:O7SK;15:O7SJ;1:O7SQ;2:O7SG;3:O7SP;4:O7SH;5:O7SO;6:O7SI;7:O7SN;9:O7SM;
Dungeon Lane	Rothwell	LS26	53.7342	-1.4644	DUNGEON LANE FARM:KQU3;
