Griff House Lane	East Ardsley	WF3	53.7289	-1.5509	BARN CONVERSION GRIFF HOUSE FARM:IKIN;
Grimthorpe Avenue	Headingley	LS6	53.8212	-1.5844	28A:K9TB;
Grimthorpe Place	Headingley	LS6	53.8214	-1.5835	10:GPTH;11:EJTI;12:DM5Z;13:EJTK;15:EIUG;1:EJTS;29:MEV1;31:FZ9J;38:EFXC;3:FZ9K;40:KHVX;5:EJTG;7:EG85;9:GP0U;ROOM 1, 10:O212;ROOM 2, 10:O213;ROOM 3, 10:O214;ROOM 4, 10:O215;ROOM 5, 10:O216;
Grimthorpe Street	Headingley	LS6	53.8212	-1.5840	10:EFXI;11:EFXJ;11A:EFXH;12:GP0H;14:MDRZ;15:DN6M;16:DN6I;17:DN6V;18:DN6D;19:DN6A;1:EIU7;20:DN6C;21:DN6F;22:DNGO;23:DNG9;24:DNGB;25:FZ0V;26:DM60;28:DM54;2:EIU2;4:EIU8;5:EIUC;6:FZ9M;7:EFXW;8:GP0K;9:EFY2;BOTTOM FLAT, 3:E9GU;ROOM 1, 11:O217;ROOM 2, 11:O218;ROOM 3, 11:O219;ROOM 4, 11:O21A;ROOM 5, 11:O21B;TOP FLAT, 3:E9GT;
Grimthorpe Terrace	Headingley	LS6	53.8214	-1.5830	10:LYA4;12:DM5G;13:DM5I;14:DM5L;15:FYBY;16:KNWE;17:KNWG;18:KNWI;19:KO5Q;1:LYA3;20:LFD6;21:KNW2;22:KNWC;23:KNW8;24:KO5T;25:KP55;26:KP5K;27:KP5D;28:KP5H;29:KP4V;2:FYCB;30:FYBX;31:KP53;32:KP4Y;33:KP51;35:KNW5;35A:FQY6;3:DM4S;4:DM4U;5:DM4X;6:DM50;7:DM5D;8:DM5S;FLAT 1, 37:NWHY;FLAT 2, 37:NWHZ;FLAT 3, 37:NWI0;FLAT 4, 37:NWI1;ROOM 1, 19:O21C;ROOM 1, 24:O21W;ROOM 2, 19:O21D;ROOM 2, 24:O21X;ROOM 3, 19:O21E;ROOM 3, 24:O21Y;ROOM 4, 19:O21F;ROOM 4, 24:O21Z;ROOM 5, 19:O21G;ROOM 5, 24:O220;ROOM 6, 19:O21H;ROOM 6, 24:O221;
Grizedale Close	Wetherby	LS22	53.9317	-1.4092	10:K4KL;1:K35K;2:E55M;3:K365;4:K35Y;5:K4KF;6:K4KC;7:K13K;8:K4KT;9:K4KP;
GRIZEDALE PLACE	Bramhope	LS16	53.8851	-1.6232	1:O872;2:O86W;3:O871;4:O86X;5:O870;6:O86Y;7:O86Z;
Grosmont Place	Bramley	LS13	53.8115	-1.6340	16:KNV5;18:LY4V;20:LGLA;22:KNUK;24:KNUN;26:E5XD;27:KNV9;28:KNVQ;29:E5XF;30:LGLE;31:KNVF;32:E5XE;33:KNVG;35:KNVI;37:DNAX;39:KO7O;41:GLK7;43:KO7U;45:KO7X;47:KO7R;
Grosmont Road	Bramley	LS13	53.8105	-1.6337	1:KO76;3:KO7I;5:LY51;7:KO8E;
Grosmont Terrace	Bramley	LS13	53.8111	-1.6338	10:KO72;12:KO6F;14:KO6K;15:KO6Q;16:KO8A;17:DNAZ;18:E8QI;19:DNB3;1:LFDC;20:GPPM;21:GPPI;23:DNAW;24:K9TC;25:GPPN;26:DOBH;27:DOBN;28:DNBB;29:GPPO;2A:KO8H;2B:E4RD;30:DNB5;31:DNBH;3:GLKB;4:LJG3;5:JRED;6:KO6X;8:KO6Z;GARAGE SITE REAR OF 1 TO 5:KO80;
Grosvenor Gardens	Headingley	LS6	53.8169	-1.5623	1:NKDO;2:NKDH;3:NKDI;4:NKDJ;5:NKDK;6:NKDL;7:NKDM;8:NKDN;
Grosvenor Mews	Rawdon	LS19	53.8526	-1.6909	10:EQNF;12:GVWS;14:EQND;16:FW81;18:EROX;1:EQN4;20:GVW4;22:DW20;2:JAOD;3:FW7X;4:EQNJ;5:JAOJ;6:EQNH;7:JAOI;8:EQNG;
Grosvenor Mount	Headingley	LS6	53.8173	-1.5625	1 FALMER COTTAGES:GPPH;11:DNAE;13:DNAF;15:EHPW;17:FZ0Y;19:DLCS;1:DN12;2 FALMER COTTAGES:KDLF;3:DN0L;5:DN0R;6:DN0V;7:DNAL;9:LOF5;GROSVENOR HOUSE, 2:FYDQ;
Grosvenor Park	Chapel Allerton	LS7	53.8302	-1.5392	11:DLD2;1:DLCA;2:DLCE;2A:DLCH;3:HQNZ;4:GONN;5:F51F;6:HQO1;7:GONL;8:DLDJ;9:DLCZ;
